id,name,categ_id,type,uom_id,uom_po_id,default_code,barcode,list_price,taxes_id,supplier_taxes_id,seller_ids/partner_id/id,seller_ids/price
nexterp_demo_product_1,Marfa Fifo 19% tva,Marfuri,product,uom.product_uom_unit,uom.product_uom_unit,demo_product_1,demo_product_1,100,TVA colectat 19% Bunuri,TVA deductibil 19% Bunuri,nexterp_demo_partner_2,3.75
nexterp_demo_product_2,Marfa Fifo 9% tva,Marfuri,product,uom.product_uom_unit,uom.product_uom_unit,demo_product_2,demo_product_2,100,TVA colectat 9% Bunuri,TVA deductibil 9% Bunuri,nexterp_demo_partner_2,3.75
nexterp_demo_product_3,Marfa Fifo 5% tva,Marfuri,product,uom.product_uom_unit,uom.product_uom_unit,demo_product_3,demo_product_3,100,TVA colectat 5% Bunuri,TVA deductibil 5% Bunuri,nexterp_demo_partner_2,1.5
nexterp_demo_product_4,Marfa Fifo 0% tva,Marfuri,product,uom.product_uom_unit,uom.product_uom_unit,demo_product_4,demo_product_4,100,TVA colectat 0% Bunuri,TVA deductibil 0% Bunuri,nexterp_demo_partner_2,0.75
nexterp_demo_product_5,Marfa Average 19% tva,Marfuri Average,product,uom.product_uom_unit,uom.product_uom_unit,demo_product_5,demo_product_5,100,TVA colectat 19% Bunuri,TVA deductibil 19% Bunuri,nexterp_demo_partner_3,3.75
nexterp_demo_product_6,Marfa Average 9% tva,Marfuri Average,product,uom.product_uom_unit,uom.product_uom_unit,demo_product_6,demo_product_6,100,TVA colectat 9% Bunuri,TVA deductibil 9% Bunuri,nexterp_demo_partner_3,3.75
nexterp_demo_product_7,Marfa Average 5% tva,Marfuri Average,product,uom.product_uom_unit,uom.product_uom_unit,demo_product_7,demo_product_7,100,TVA colectat 5% Bunuri,TVA deductibil 5% Bunuri,nexterp_demo_partner_3,1.5
nexterp_demo_product_8,Marfa Average 0% tva,Marfuri Average,product,uom.product_uom_unit,uom.product_uom_unit,demo_product_8,demo_product_8,100,TVA colectat 0% Bunuri,TVA deductibil 0% Bunuri,nexterp_demo_partner_3,0.75
nexterp_demo_product_9,Marfa Lot 19% tva,Marfuri,product,uom.product_uom_unit,uom.product_uom_unit,demo_product_9,demo_product_9,100,TVA colectat 19% Bunuri,TVA deductibil 19% Bunuri,nexterp_demo_partner_5,3.75
nexterp_demo_product_10,Marfa Lot 9% tva,Marfuri,product,uom.product_uom_unit,uom.product_uom_unit,demo_product_10,demo_product_10,100,TVA colectat 9% Bunuri,TVA deductibil 9% Bunuri,nexterp_demo_partner_5,3.75
